"Temperature (degC), TC1","Temperature (degC), TC2","Temperature (degC), TC3","Temperature (degC), TC4","Temperature (degC), TC5","Temperature (degC), TC6","Temperature (degC), TC7","Temperature (degC), TC8","Temperature (degC), TC9","Temperature (degC), TC10",V_coil_rms (V)
390.797476,214.3893749,303.391195,208.5300744,176.08338,342.8665989,384.7759224,188.4673754,271.8469883,198.3362176,79.43409464
385.6822493,212.0305166,298.5923185,204.4069773,173.9625023,327.592169,369.4285363,185.9670388,264.2840554,194.6546081,79.54457268
387.3191665,212.696732,300.1660782,205.3918011,174.6382209,331.9775426,375.0421561,186.8668392,267.0312206,195.8675469,79.51151346
409.5883384,217.4576475,313.3489297,203.9112643,174.1380224,323.7239547,379.0464945,187.9607666,270.8418816,195.4834347,79.47258722
387.1887377,212.1563262,299.1062642,203.6114881,173.529517,324.0611193,366.8099144,185.5981607,263.1756113,193.9345369,79.55894118
387.966011,211.7462636,298.7388747,201.5458445,172.5410523,316.2624064,360.6545727,184.6540002,260.3695391,192.2787881,79.60294007
410.9007779,218.2897627,313.4267602,206.4645526,174.4632869,328.6684447,376.7825484,187.7030066,269.7558245,195.8410066,79.44899086
393.023659,213.85558,303.0019639,204.9733023,174.1151214,327.906163,371.8758549,186.5067206,266.0491884,195.0294297,79.51672853
396.8903493,214.5512571,305.120961,204.3072973,173.9162561,325.3163016,372.0515116,186.6198936,266.4554303,194.783559,79.5167416
374.3455999,208.7057963,291.9689391,201.0632495,173.1151937,320.7381332,364.9769896,184.9324608,261.3115931,193.2013135,79.61944015
403.514294,217.6258738,311.1174116,209.6786964,176.4666462,343.9187273,389.8651569,189.5735998,275.3135484,199.1814916,79.37899837
413.4698235,219.8314642,316.9529888,209.2381834,176.2118254,340.3941485,391.0042559,189.9580551,276.7133812,198.9437545,79.36190276
409.2910821,218.8555576,313.2000703,209.8955246,175.6160666,339.1874342,381.6082706,188.4720995,271.868137,197.6567959,79.3950578
386.5043635,211.8352525,298.686022,202.9047305,173.316044,322.1886088,366.0029828,185.4319666,262.7620325,193.5992011,79.57176816
426.9162711,222.2139201,323.1952151,207.448368,174.8890209,329.5850502,383.2559821,189.0730684,274.1262044,196.8214316,79.38709986
387.0784318,213.2446207,300.0714831,207.8932153,175.1602902,338.1468038,375.0999631,186.9312657,266.9988681,196.5825967,79.48149017
407.094189,218.2612368,312.5486251,209.2593701,175.9120094,340.1066578,385.741641,189.0219628,273.668023,198.2473424,79.39222615
393.1033851,214.6342682,303.8364419,207.6665343,175.1892542,336.8765862,377.6926111,187.4419777,268.7219292,196.7801584,79.46322054
394.6502426,215.3775388,304.5595799,209.5795099,175.5676204,341.1061363,377.8524379,187.5696678,268.898602,197.3275466,79.43879857
404.7665134,218.4441327,313.0506572,211.3871428,177.7122359,352.0168151,399.8578237,191.1432954,280.1253955,201.3768808,79.3242182
388.4219248,211.9583942,298.7563136,202.1290551,172.5137261,316.9201903,359.1184802,184.4391114,259.6656388,192.1739851,79.60146245
400.9844865,216.1775724,309.269528,206.2367775,175.4616886,334.6474757,386.1304783,188.8655509,273.4087313,197.6084741,79.43803647
424.1721928,221.997574,322.7241616,208.4884142,175.7851445,335.5536444,390.4876029,190.1278703,277.3663926,198.3903147,79.35437227
393.3184661,214.6288101,304.6626211,207.1800674,175.5971918,338.1424685,383.4218671,188.2826311,271.4585616,197.6226423,79.4504918
402.2438571,216.0953881,309.5980697,204.8612718,174.7926417,329.3259752,382.2910707,188.2848133,271.7440912,196.504647,79.46438384
397.9343569,215.2668164,306.3743424,205.811397,174.5783765,330.4160611,376.4042916,187.3249834,268.5498852,195.9029578,79.47995776
434.750176,225.2421184,330.6589702,210.966552,177.3521656,344.5267986,405.214145,192.6757839,285.2551129,201.326939,79.25568607
410.0830712,219.4508959,314.5359718,211.2857231,176.5292918,345.3185997,388.679353,189.5950945,275.275592,199.2546862,79.35311378
399.1740321,215.9015699,307.3446652,207.2632962,175.1314688,334.9288685,379.502242,187.8530655,270.0805287,196.8259194,79.4510298
383.8157356,212.0306065,297.9880185,206.0122931,174.6664144,333.6525031,372.994045,186.4932756,265.7657785,195.7825715,79.51704938
396.7362969,215.0911823,305.0099423,206.6234203,174.3947071,330.8593439,372.0809731,186.6817745,266.3761704,195.4399597,79.48801667
384.0356377,211.5226781,298.0863904,203.6027265,174.0717341,327.2460575,372.1537082,186.3085852,265.4486722,194.9244868,79.54812868
376.6012255,209.6219927,292.3861356,203.3253493,173.1073649,323.5070121,360.0047771,184.330306,259.1078313,192.9684505,79.6053391
410.7479896,219.6155653,314.4189838,211.5613114,176.24441,344.2114187,385.1221424,189.0866982,273.6381717,198.6991254,79.36126874
401.5912296,215.925912,307.9648617,205.4891644,174.2346457,327.7318885,374.1063921,187.0625222,267.7706933,195.3455948,79.4867036
373.3838363,208.2685523,289.9722581,200.9476784,172.268561,316.6374645,355.1791464,183.4854478,256.620352,191.5609717,79.65574841
416.3721658,220.1327518,317.4433317,208.4428574,175.3580792,334.7695577,383.7949357,188.9285796,273.5071433,197.4407956,79.39143927
391.5248439,214.0697291,302.6998649,207.028156,174.9941234,335.2784343,376.4156297,187.2103043,267.9923326,196.4427224,79.47834957
401.819359,217.2424062,309.6304551,210.0089873,176.2075872,343.5344398,385.9001397,188.939502,273.2958087,198.6321188,79.39284774
410.8110339,218.3863345,313.2448579,207.0261361,174.540151,329.8082692,376.2946549,187.6452864,269.4986939,195.9276147,79.44448831
